designation;nro;bprp;gabs;mass(Msun);prob
Gaia EDR3 1114757975697859456;183;0,8561859;14,31750336;0,534339332;0,601061761
Gaia EDR3 1114813977776610944;184;-7,53E-03;13,02142015;1,077876737;0,900073409
Gaia EDR3 1115696885613749504;185;0,8930187;14,51841679;0,571559278;0,765004992
Gaia EDR3 1115956542156531456;186;0,29459953;13,50851703;0,878145193;0,81792295
Gaia EDR3 1116164074976366464;187;1,2526283;15,02492133;0,435229986;0,967644572
Gaia EDR3 1116707130641230848;188;0,9831791;14,59868498;0,526659771;0,889014423
Gaia EDR3 1116797359314558208;189;4,65E-02;11,88172507;0,582740967;0,898519218
Gaia EDR3 1117334024067935872;190;1,2203293;15,20956003;0,52919418;0,988503575
Gaia EDR3 1118028984136160128;191;1,2766724;14,84030597;0,365846065;0,964965999
Gaia EDR3 1118374024628715264;192;0,8062954;14,21468775;0,546430031;0,512471199
Gaia EDR3 1118460924702185088;193;1,0978699;14,76233649;0,49353134;0,957025707
Gaia EDR3 1118460924703171584;194;0,82842255;14,23555934;0,532001583;0,512552559
Gaia EDR3 1118747824222709632;195;0,86058044;15,20106289;0,8872818;0,957916081
Gaia EDR3 1118761258879977984;196;0,37468338;13,6757855;0,84051925;0,630833149
Gaia EDR3 1119353178387687168;197;0,60097885;13,99738644;0,69350878;0,519703448
Gaia EDR3 1120102942239867264;198;-0,20354652;11,14147598;0,615987483;0,9362818
Gaia EDR3 1122496712196773504;199;0,15519524;12,51368679;0,687453519;0,860359073
Gaia EDR3 1122671504482095104;200;-0,16307259;11,2523921;0,594303867;0,939272881
Gaia EDR3 1123700235048742016;201;1,0441036;14,70411998;0,516370309;0,958036423
Gaia EDR3 1124219372039102464;202;1,1297054;14,77293048;0,471926733;0,955790997
Gaia EDR3 1124674054457222144;203;0,24665642;12,57344264;0,579818848;0,767702341
Gaia EDR3 1127701323501940224;204;0,5107231;13,37693562;0,555838017;0,652812123
Gaia EDR3 112809652491865344;205;0,9567051;14,38294162;0,480701443;0,762804866
Gaia EDR3 1128099484150646272;206;0,26184082;12,75437527;0,629609577;0,700394332
Gaia EDR3 1128433254648876928;207;1,2744598;15,11652669;0,456230719;0,987841904
Gaia EDR3 1128888482526203776;208;0,42045403;12,53881631;0,411186414;0,70811826
Gaia EDR3 1129251428738666880;209;0,10075283;11,96248;0,54851083;0,920494556
Gaia EDR3 1129832000941901056;210;1,3298149;14,86989761;0,328033524;0,982251525
Gaia EDR3 1129892512736965888;211;0,49874878;13,34001098;0,555800514;0,556728005
Gaia EDR3 1131045586901378560;212;1,3045139;15,01666796;0,396852746;0,949697137
Gaia EDR3 1131562121144696960;213;0,22714233;11,77505505;0,385880257;0,897045135
Gaia EDR3 1132966468074614272;214;0,7429409;14,7336689;0,825045211;0,509499431
Gaia EDR3 1133810794221801856;215;0,413805;13,10910146;0,567671602;0,612396657
Gaia EDR3 1134368929515373184;216;0,89466095;14,09887405;0,435229985;0,535897732
Gaia EDR3 1135554203050782464;217;0,94929695;14,46308658;0,508370029;0,791734576
Gaia EDR3 1136073108116352128;218;0,72078514;14,41017834;0,719164933;0,506222188
Gaia EDR3 1136379940579304576;219;0,6566429;13,99034144;0,625105684;0,529058337
Gaia EDR3 1138270374728419840;220;1,4101295;15,28702709;0,320567935;0,978507161
Gaia EDR3 1138353770109251200;221;-0,21175766;12,87625476;1,185709564;0,890603125
Gaia EDR3 1139736573483618944;222;0,75545883;14,26637334;0,620762808;0,508447826
Gaia EDR3 1140089413637064960;223;1,1726322;14,74038833;0,431840608;0,975749969
Gaia EDR3 1140292483988569856;224;0,9595232;14,34244377;0,467248507;0,95622313
Gaia EDR3 1140399961247676544;225;1,060339;14,88701162;0,565925193;0,916219831
Gaia EDR3 1140441566596039040;226;0,9417324;14,6643667;0,583567194;0,799362421
Gaia EDR3 1140490739678163840;227;0,5166817;13,39010539;0,554196429;0,58408922
Gaia EDR3 1141846540594232192;228;-0,24451351;10,82117179;0,567822212;0,943750024
Gaia EDR3 1143693887630730240;229;0,44483948;13,28751502;0,597581144;0,578327298
Gaia EDR3 1143939598415174144;230;1,180727;14,97507574;0,491552531;0,982065082
Gaia EDR3 1145020139172129536;231;0,23951149;12,47237454;0,554796806;0,740313411
Gaia EDR3 1145602571097053952;232;1,1953583;15,00010717;0,487110818;0,961395741
Gaia EDR3 114592338797528320;233;0,3772335;12,72840405;0,493963801;0,57501471
Gaia EDR3 1146255612287729280;234;1,1358624;14,67793164;0,435229986;0,930575073
Gaia EDR3 1146403741412820864;235;0,8895111;14,89906988;0,735136588;0,763515711
Gaia EDR3 1146602027166665984;236;0,88114166;14,34380174;0,521860118;0,762160599
Gaia EDR3 1148253837229014272;237;1,1162357;14,74272678;0,473660261;0,979934931
Gaia EDR3 114851999635497344;238;0,9128952;14,56855643;0,570978316;0,829674184
