 #       Teff 			 log(L/Lsun) 		 tcool(gyr) 			logg(CGS)		  R/R_sun		       G3      			Bp3    			Rp3     		    u      			g      			 r      		 i       		z     				g		       r       			i      			 z       			y  
   73601.726187143722        1.1386110000000000        3.3866870961719544E-004   7.4334936999999996        2.2796400000000001E-002   7.5698295574215386        7.3797490395653966        7.9319009007828960        6.7712902644601805        7.3080286943279660        7.8624602103080399        8.2599009007828954        8.6199814186390391        7.3821228417466820        7.8686304205151103        8.2719009007828959        8.5679814186390395        8.7856059488835427     
   73180.437241676147        1.1243970000000001        3.5272808191803053E-004   7.4377376000000002        2.2685299999999999E-002   7.5861057973310171        7.3961516661585147        7.9477983499108138        6.7879113439512242        7.3245155787101819        7.8785261750141427        8.2757983499108132        8.6357524810833137        7.3985845728343502        7.8846960159518549        8.2877983499108137        8.5837524810833141        8.8013093598693661     
   72756.701223561540        1.1100620000000001        3.6678746965662868E-004   7.4419848000000002        2.2574600000000000E-002   7.6024223765974170        7.4125953662303488        7.9637353191277533        6.8045735556670834        7.3410440259856387        7.8946326386383276        8.2917353191277527        8.6515623294948227        7.4150876353079944        7.9008007272091980        8.3037353191277532        8.5995623294948231        8.8170496975104058     
   72331.754567003241        1.0956300000000001        3.8084687283298992E-004   7.4462416999999999        2.2464300000000000E-002   7.6187620501857012        7.4290625238155990        7.9796957365606183        6.8212584302107828        7.3575961729021984        7.9107630347338187        8.3076957365606177        8.6673952629307180        7.4316143151588996        7.9169279274692030        8.3196957365606181        8.6153952629307184        8.8328114733795076     
   71906.475118164512        1.0811310000000001        3.9490629144347622E-004   7.4504963999999996        2.2354499999999999E-002   7.6351033251741409        7.4455313826386895        7.9956588893331553        6.8379437898151298        7.3741500876150621        7.9268962992858878        8.3236588893331511        8.6832308318686042        7.4481427207268762        7.9330565627332223        8.3356588893331516        8.6312308318686046        8.8485743759395721     
   71480.733438763840        1.0665560000000001        4.0896572549172563E-004   7.4547534000000004        2.2245200000000000E-002   7.6514476329311094        7.4620034128994774        8.0116261058874372        6.8546311327747773        7.3907072662117272        7.9430338125119349        8.3396261058874401        8.6990703259190667        7.4646743531556012        7.9491879996504906        8.3516261058874406        8.6470703259190671        8.8643396733453770     
   71054.240233767516        1.0519060000000000        4.3708463989969461E-004   7.4590088000000003        2.2136500000000000E-002   7.6677890204772012        7.4784727484070714        8.0275911577165004        6.8713148128379018        7.4072619003603180        7.9591694616229951        8.3555911577164999        8.7149074297866314        7.4812033595836951        7.9653161405940871        8.3675911577165003        8.6629074297866318        8.8801009920044756     
   70627.201775530280        1.0371770000000000        4.5114412025759523E-004   7.4632677000000003        2.2028200000000001E-002   7.6841438547304293        7.4949556941977704        8.0435706225539185        6.8880109453069416        7.4238302538426666        7.9753197418437054        8.3715706225539179        8.7307587830865785        7.4977460448202180        7.9814574556181945        8.3835706225539184        8.6787587830865789        8.8958750080161728     
   70199.981875175406        1.0223739999999999        4.6520361605325889E-004   7.4675262000000000        2.1920499999999999E-002   7.7004873925974362        7.5114273980348809        8.0595400787536580        6.9046944968412074        7.4403874016598461        7.9914600860035900        8.3875400787536574        8.7466000733162108        7.5142775046473655        7.9975873835350182        8.3995400787536578        8.6946000733162112        8.9116374720226812     
   69772.133004087445        1.0074959999999999        4.9332265395423747E-004   7.4717862000000004        2.1813200000000001E-002   7.7172074813058931        7.5283011997017955        8.0758211857107955        6.9217790570968862        7.4573442015034406        8.0079376908062923        8.4038211857107985        8.7627300389124319        7.5311883445017944        8.0140479744087525        8.4157983990112033        8.7107502540144832        8.9277046806153013     
   69343.857950960984       0.99253999999999998        5.0738219605955240E-004   7.4760460000000002        2.1706500000000000E-002   7.7342391700492055        7.5455079137594741        8.0923559835903607        6.9391953338795584        7.4746328552786299        8.0246903415055346        8.4203559835903565        8.7790935267707422        7.5484120977594760        8.0307798706148770        8.4322903693854538        8.7271528540849861        8.9440216256751786     
   68914.720641599648       0.97749600000000003        5.2144175360263037E-004   7.4803040000000003        2.1600399999999999E-002   7.7512713161975313        7.5627139782057924        8.1088901969674545        6.9566100480857287        7.4919224838125729        8.0414413869115506        8.4368901969674539        8.7954560852240924        7.5656351942057896        8.0475116206466524        8.4487816690316109        8.7435560628950348        8.9603390070233573     
   68484.769753990215       0.96236400000000000        5.4956091499843752E-004   7.4845667000000002        2.1494599999999999E-002   7.7683328726895056        7.5799483187890893        8.1254528631942904        6.9740520105378785        7.5092420108371130        8.0582198323184784        8.4534528631942933        8.8118467710958868        7.5828865855890903        8.0642722115172987        8.4653013401696882        8.7599889401193067        8.9766858940701049     
   68054.210487334058       0.94714699999999996        5.6362051885116670E-004   7.4888266999999997        2.1389399999999999E-002   7.7853905700963288        7.5971775822573804        8.1420109294811276        6.9914878319209635        7.5265580438039272        8.0749925205934439        8.4700109294811305        8.8282326136760609        7.6001328890573809        8.0810285174374634        8.4818163505298649        8.7764184962713436        8.9930293383688102     
   67622.776758236898       0.93183600000000000        5.9173977286809535E-004   7.4930887000000004        2.1284700000000000E-002   7.8024581014146612        7.6144155625925656        8.1585777883245463        7.0089314040188171        7.5438844353597183        8.0917729718266216        8.4865777883245457        8.8446268990278405        7.6173879173925627        8.0977940451454238        8.4983400660003703        8.7928580494708193        9.0093826048224663     
